id_subid,prism_filepath,prism_redshift,grating_filepaths,grating_redshifts,file_count,available_filters,filter_g140m-f100lp_filepath,filter_g235m-f170lp_filepath,filter_g235h-f170lp_filepath,filter_g395h-f290lp_filepath,filter_g395m-f290lp_filepath,filter_g140m-f070lp_filepath,filter_g140h-f070lp_filepath,filter_g140h-f100lp_filepath
1210_13767,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_13767.spec.fits,3.414,{},{},1,prism-clear,,,,,,,,
1210_633,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_633.spec.fits,0.3323,{},{},1,prism-clear,,,,,,,,
1210_12284,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_12284.spec.fits,1.281,"{'g140m-f070lp': '/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g140m-f070lp_1210_12284.spec.fits', 'g395m-f290lp': '/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g395m-f290lp_1210_12284.spec.fits', 'g235m-f170lp': '/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g235m-f170lp_1210_12284.spec.fits', 'g395h-f290lp': '/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g395h-f290lp_1210_12284.spec.fits'}","{'g140m-f070lp': <Quantity 1.3071>, 'g395m-f290lp': <Quantity 1.3066>, 'g235m-f170lp': <Quantity 1.3074>, 'g395h-f290lp': <Quantity 1.2966>}",5,"g140m-f070lp, g235m-f170lp, g395h-f290lp, prism-clear, g395m-f290lp",,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g235m-f170lp_1210_12284.spec.fits,,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g395h-f290lp_1210_12284.spec.fits,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g395m-f290lp_1210_12284.spec.fits,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g140m-f070lp_1210_12284.spec.fits,,
1210_11328,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_11328.spec.fits,1.8855,{},{},1,prism-clear,,,,,,,,
1210_b208,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b208.spec.fits,,{},{},1,prism-clear,,,,,,,,
1210_b46,,,"{'g140m-f070lp': '/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g140m-f070lp_1210_b46.spec.fits', 'g395h-f290lp': '/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g395h-f290lp_1210_b46.spec.fits', 'g235m-f170lp': '/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g235m-f170lp_1210_b46.spec.fits', 'g395m-f290lp': '/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g395m-f290lp_1210_b46.spec.fits'}","{'g140m-f070lp': <Quantity 3.1517>, 'g395h-f290lp': <Quantity 3.1565>, 'g235m-f170lp': <Quantity 3.1512>, 'g395m-f290lp': <Quantity 3.1517>}",4,"g140m-f070lp, g395h-f290lp, g395m-f290lp, g235m-f170lp",,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g235m-f170lp_1210_b46.spec.fits,,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g395h-f290lp_1210_b46.spec.fits,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g395m-f290lp_1210_b46.spec.fits,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_g140m-f070lp_1210_b46.spec.fits,,
1210_183,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_183.spec.fits,0.9768,{},{},1,prism-clear,,,,,,,,
1210_b139,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b139.spec.fits,6.9859,{},{},1,prism-clear,,,,,,,,
1210_5631,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_5631.spec.fits,2.7035,{},{},1,prism-clear,,,,,,,,
1210_b20,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b20.spec.fits,4.5128,{},{},1,prism-clear,,,,,,,,
1210_38972,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_38972.spec.fits,1.3431,{},{},1,prism-clear,,,,,,,,
1210_1697,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_1697.spec.fits,2.4376,{},{},1,prism-clear,,,,,,,,
1210_15344,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_15344.spec.fits,4.0208,{},{},1,prism-clear,,,,,,,,
1210_b287,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b287.spec.fits,5.8667,{},{},1,prism-clear,,,,,,,,
1210_b150,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b150.spec.fits,0.1867,{},{},1,prism-clear,,,,,,,,
1210_b293,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b293.spec.fits,4.8141,{},{},1,prism-clear,,,,,,,,
1210_b250,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b250.spec.fits,5.5672,{},{},1,prism-clear,,,,,,,,
1210_b258,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b258.spec.fits,5.5679,{},{},1,prism-clear,,,,,,,,
1210_58004,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_58004.spec.fits,4.504,{},{},1,prism-clear,,,,,,,,
1210_b148,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b148.spec.fits,5.7671,{},{},1,prism-clear,,,,,,,,
1210_b158,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b158.spec.fits,5.3705,{},{},1,prism-clear,,,,,,,,
1210_b212,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b212.spec.fits,9.1938,{},{},1,prism-clear,,,,,,,,
1210_b76,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b76.spec.fits,,{},{},1,prism-clear,,,,,,,,
1210_b184,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b184.spec.fits,6.9883,{},{},1,prism-clear,,,,,,,,
1210_b127,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b127.spec.fits,6.6697,{},{},1,prism-clear,,,,,,,,
1210_b113,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b113.spec.fits,4.8508,{},{},1,prism-clear,,,,,,,,
1210_b267,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b267.spec.fits,2.0273,{},{},1,prism-clear,,,,,,,,
1210_b237,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b237.spec.fits,6.4758,{},{},1,prism-clear,,,,,,,,
1210_b216,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b216.spec.fits,,{},{},1,prism-clear,,,,,,,,
1210_b121,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b121.spec.fits,7.7958,{},{},1,prism-clear,,,,,,,,
1210_b290,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b290.spec.fits,2.8996,{},{},1,prism-clear,,,,,,,,
1210_b200,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b200.spec.fits,5.038,{},{},1,prism-clear,,,,,,,,
1210_36017,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_36017.spec.fits,2.0189,{},{},1,prism-clear,,,,,,,,
1210_b28,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b28.spec.fits,7.7205,{},{},1,prism-clear,,,,,,,,
1210_4818,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_4818.spec.fits,4.3956,{},{},1,prism-clear,,,,,,,,
1210_b119,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b119.spec.fits,2.8965,{},{},1,prism-clear,,,,,,,,
1210_b193,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b193.spec.fits,,{},{},1,prism-clear,,,,,,,,
1210_b221,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b221.spec.fits,3.4508,{},{},1,prism-clear,,,,,,,,
1210_b6,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b6.spec.fits,6.4706,{},{},1,prism-clear,,,,,,,,
1210_b5,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b5.spec.fits,2.5067,{},{},1,prism-clear,,,,,,,,
1210_b281,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b281.spec.fits,3.5905,{},{},1,prism-clear,,,,,,,,
1210_b74,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b74.spec.fits,0.0784,{},{},1,prism-clear,,,,,,,,
1210_b133,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b133.spec.fits,4.3206,{},{},1,prism-clear,,,,,,,,
1210_b144,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b144.spec.fits,3.3876,{},{},1,prism-clear,,,,,,,,
1210_b244,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b244.spec.fits,9.6886,{},{},1,prism-clear,,,,,,,,
1210_b51,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b51.spec.fits,0.5351,{},{},1,prism-clear,,,,,,,,
1210_b128,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b128.spec.fits,,{},{},1,prism-clear,,,,,,,,
1210_b297,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b297.spec.fits,1.2571,{},{},1,prism-clear,,,,,,,,
1210_b182,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b182.spec.fits,5.7246,{},{},1,prism-clear,,,,,,,,
1210_b286,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b286.spec.fits,0.2593,{},{},1,prism-clear,,,,,,,,
1210_b301,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b301.spec.fits,,{},{},1,prism-clear,,,,,,,,
1210_b2,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b2.spec.fits,6.8631,{},{},1,prism-clear,,,,,,,,
1210_b305,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b305.spec.fits,0.2178,{},{},1,prism-clear,,,,,,,,
1210_b183,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b183.spec.fits,2.862,{},{},1,prism-clear,,,,,,,,
1210_b134,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b134.spec.fits,4.6972,{},{},1,prism-clear,,,,,,,,
1210_b185,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b185.spec.fits,3.1565,{},{},1,prism-clear,,,,,,,,
1210_b256,/home/xingyaocai/DJAv4/gds-deep-v4/gds-deep-v4_prism-clear_1210_b256.spec.fits,6.7166,{},{},1,prism-clear,,,,,,,,
4233_b6,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_b6.spec.fits,6.4923,{},{},1,prism-clear,,,,,,,,
4233_62060,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_prism-clear_4233_62060.spec.fits,2.3195,{'g395m-f290lp': '/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_62060.spec.fits'},{'g395m-f290lp': <Quantity 2.2905>},2,"g395m-f290lp, prism-clear",,,,,/home/xingyaocai/DJAv4/rubies-uds3-v4/rubies-uds3-v4_g395m-f290lp_4233_62060.spec.fits,,,
