lam flux_nu eflux_nu eflux_nu_lines eflux_nu_spread
10.000000000 0.035456219 0.125325041 0.125325041 0.468923365
20.000000000 0.035456219 0.125325041 0.125325041 0.468923365
30.000000000 0.035456219 0.125325041 0.125325041 0.468923365
40.000000000 0.035456219 0.125325041 0.125325041 0.468923365
50.000000000 0.035456219 0.125325041 0.125325041 0.468923365
60.000000000 0.035456219 0.125325041 0.125325041 0.468923365
70.000000000 0.035456219 0.125325041 0.125325041 0.468923365
80.000000000 0.035456219 0.125325041 0.125325041 0.468923365
90.000000000 0.035456219 0.125325041 0.125325041 0.468923365
100.000000000 0.035456219 0.125325041 0.125325041 0.468923365
110.000000000 0.035456219 0.125325041 0.125325041 0.468923365
120.000000000 0.035456219 0.125325041 0.125325041 0.468923365
130.000000000 0.035456219 0.125325041 0.125325041 0.468923365
140.000000000 0.035456219 0.125325041 0.125325041 0.468923365
150.000000000 0.035456219 0.125325041 0.125325041 0.468923365
160.000000000 0.035456219 0.125325041 0.125325041 0.468923365
170.000000000 0.035456219 0.125325041 0.125325041 0.468923365
180.000000000 0.035456219 0.125325041 0.125325041 0.468923365
190.000000000 0.035456219 0.125325041 0.125325041 0.468923365
200.000000000 0.035456219 0.125325041 0.125325041 0.468923365
210.000000000 0.035456219 0.125325041 0.125325041 0.468923365
220.000000000 0.035456219 0.125325041 0.125325041 0.468923365
230.000000000 0.035456219 0.125325041 0.125325041 0.468923365
240.000000000 0.035456219 0.125325041 0.125325041 0.468923365
250.000000000 0.035456219 0.125325041 0.125325041 0.468923365
260.000000000 0.035456219 0.125325041 0.125325041 0.468923365
270.000000000 0.035456219 0.125325041 0.125325041 0.468923365
280.000000000 0.035456219 0.125325041 0.125325041 0.468923365
290.000000000 0.035456219 0.125325041 0.125325041 0.468923365
300.000000000 0.035456219 0.125325041 0.125325041 0.468923365
310.000000000 0.035456219 0.125325041 0.125325041 0.468923365
320.000000000 0.035456219 0.125325041 0.125325041 0.468923365
330.000000000 0.035456219 0.125325041 0.125325041 0.468923365
340.000000000 0.035456219 0.125325041 0.125325041 0.468923365
350.000000000 0.035456219 0.125325041 0.125325041 0.468923365
360.000000000 0.035456219 0.125325041 0.125325041 0.468923365
370.000000000 0.035456219 0.125325041 0.125325041 0.468923365
380.000000000 0.035456219 0.125325041 0.125325041 0.468923365
390.000000000 0.035456219 0.125325041 0.125325041 0.468923365
400.000000000 0.035456219 0.125325041 0.125325041 0.468923365
410.000000000 0.035456219 0.125325041 0.125325041 0.468923365
420.000000000 0.035456219 0.125325041 0.125325041 0.468923365
430.000000000 0.035456219 0.125325041 0.125325041 0.468923365
440.000000000 0.035456219 0.125325041 0.125325041 0.468923365
450.000000000 0.035456219 0.125325041 0.125325041 0.468923365
460.000000000 0.035456219 0.125325041 0.125325041 0.468923365
470.000000000 0.035456219 0.125325041 0.125325041 0.468923365
480.000000000 0.035456219 0.125325041 0.125325041 0.468923365
490.000000000 0.035456219 0.125325041 0.125325041 0.468923365
500.000000000 0.035456219 0.125325041 0.125325041 0.468923365
510.000000000 0.035456219 0.125325041 0.125325041 0.468923365
520.000000000 0.035456219 0.125325041 0.125325041 0.468923365
530.000000000 0.035456219 0.125325041 0.125325041 0.468923365
540.000000000 0.035456219 0.125325041 0.125325041 0.468923365
550.000000000 0.035456219 0.125325041 0.125325041 0.468923365
560.000000000 0.035456219 0.125325041 0.125325041 0.468923365
570.000000000 0.035456219 0.125325041 0.125325041 0.468923365
580.000000000 0.035456219 0.125325041 0.125325041 0.468923365
590.000000000 0.035456219 0.125325041 0.125325041 0.468923365
600.000000000 0.035456219 0.125325041 0.125325041 0.468923365
610.000000000 0.035456219 0.125325041 0.125325041 0.468923365
620.000000000 0.035456219 0.125325041 0.125325041 0.468923365
630.000000000 0.035456219 0.125325041 0.125325041 0.468923365
640.000000000 0.035456219 0.125325041 0.125325041 0.468923365
650.000000000 0.035456219 0.125325041 0.125325041 0.468923365
660.000000000 0.035456219 0.125325041 0.125325041 0.468923365
670.000000000 0.035456219 0.125325041 0.125325041 0.468923365
680.000000000 0.035456219 0.125325041 0.125325041 0.468923365
690.000000000 0.035456219 0.125325041 0.125325041 0.468923365
700.000000000 0.035456219 0.125325041 0.125325041 0.468923365
710.000000000 0.035456219 0.125325041 0.125325041 0.468923365
720.000000000 0.035456219 0.125325041 0.125325041 0.468923365
730.000000000 0.035456219 0.125325041 0.125325041 0.468923365
740.000000000 0.035456219 0.125325041 0.125325041 0.468923365
750.000000000 0.035456219 0.125325041 0.125325041 0.468923365
760.000000000 0.035456219 0.125325041 0.125325041 0.468923365
770.000000000 0.035456219 0.125325041 0.125325041 0.468923365
780.000000000 0.035456219 0.125325041 0.125325041 0.468923365
790.000000000 0.035456219 0.125325041 0.125325041 0.468923365
800.000000000 0.035456219 0.125325041 0.125325041 0.468923365
810.000000000 0.035456219 0.125325041 0.125325041 0.468923365
820.000000000 0.035456219 0.125325041 0.125325041 0.468923365
830.000000000 0.035456219 0.125325041 0.125325041 0.468923365
840.000000000 0.035456219 0.125325041 0.125325041 0.468923365
850.000000000 0.035456219 0.125325041 0.125325041 0.468923365
860.000000000 0.035456219 0.125325041 0.125325041 0.468923365
870.000000000 0.035456219 0.125325041 0.125325041 0.468923365
880.000000000 0.035456219 0.125325041 0.125325041 0.468923365
890.000000000 0.035456219 0.125325041 0.125325041 0.468923365
900.000000000 0.035456219 0.125325041 0.125325041 0.468923365
910.000000000 0.035456219 0.125325041 0.125325041 0.468923365
920.000000000 0.035456219 0.125325041 0.125325041 0.468923365
930.000000000 0.035456219 0.125325041 0.125325041 0.468923365
940.000000000 0.035456219 0.125325041 0.125325041 0.468923365
950.000000000 0.035456219 0.125325041 0.125325041 0.468923365
960.000000000 0.035456219 0.125325041 0.125325041 0.468923365
970.000000000 0.035456219 0.125325041 0.125325041 0.468923365
980.000000000 0.035456219 0.125325041 0.125325041 0.468923365
990.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1000.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1010.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1020.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1030.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1040.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1050.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1060.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1070.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1080.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1090.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1100.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1110.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1120.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1130.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1140.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1150.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1160.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1170.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1180.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1190.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1200.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1210.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1220.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1230.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1240.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1250.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1260.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1270.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1280.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1290.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1300.000000000 0.035456219 0.125325041 0.125325041 0.468923365
1310.000000000 0.035456219 0.125325041 0.125325041 0.468923365
